Week,Winner,Loser,PtsW,PtsL,Team,Opponent,Win Prob
13,Chicago Bears,Detroit Lions,24,20,Detroit Lions,Chicago Bears,0.41935483870967744
13,Buffalo Bills,Dallas Cowboys,26,15,Dallas Cowboys,Buffalo Bills,0.5625
13,New Orleans Saints,Atlanta Falcons,26,18,Atlanta Falcons,New Orleans Saints,0.4473684210526316
13,Green Bay Packers,New York Giants,31,13,New York Giants,Green Bay Packers,0.4
13,Washington Redskins,Carolina Panthers,29,21,Carolina Panthers,Washington Redskins,0.5714285714285714
13,Tampa Bay Buccaneers,Jacksonville Jaguars,28,11,Jacksonville Jaguars,Tampa Bay Buccaneers,0.5517241379310345
13,Tennessee Titans,Indianapolis Colts,31,17,Indianapolis Colts,Tennessee Titans,0.4838709677419355
13,Baltimore Ravens,San Francisco 49ers,20,17,San Francisco 49ers,Baltimore Ravens,0.48484848484848486
13,Miami Dolphins,Philadelphia Eagles,37,31,Philadelphia Eagles,Miami Dolphins,0.6896551724137931
13,Cincinnati Bengals,New York Jets,22,6,New York Jets,Cincinnati Bengals,0.5555555555555556
13,Pittsburgh Steelers,Cleveland Browns,20,13,Cleveland Browns,Pittsburgh Steelers,0.4864864864864865
13,Los Angeles Rams,Arizona Cardinals,34,7,Arizona Cardinals,Los Angeles Rams,0.3225806451612903
13,Kansas City Chiefs,Oakland Raiders,40,9,Oakland Raiders,Kansas City Chiefs,0.36363636363636365
13,Denver Broncos,Los Angeles Chargers,23,20,Los Angeles Chargers,Denver Broncos,0.5882352941176471
13,Houston Texans,New England Patriots,28,22,New England Patriots,Houston Texans,0.575
13,Seattle Seahawks,Minnesota Vikings,37,30,Minnesota Vikings,Seattle Seahawks,0.5
13,Chicago Bears,Detroit Lions,24,20,Detroit Lions,Chicago Bears,0.41935483870967744
13,Buffalo Bills,Dallas Cowboys,26,15,Dallas Cowboys,Buffalo Bills,0.5625
13,New Orleans Saints,Atlanta Falcons,26,18,Atlanta Falcons,New Orleans Saints,0.4473684210526316
13,Green Bay Packers,New York Giants,31,13,New York Giants,Green Bay Packers,0.4
13,Washington Redskins,Carolina Panthers,29,21,Carolina Panthers,Washington Redskins,0.5714285714285714
13,Tampa Bay Buccaneers,Jacksonville Jaguars,28,11,Jacksonville Jaguars,Tampa Bay Buccaneers,0.5517241379310345
13,Tennessee Titans,Indianapolis Colts,31,17,Indianapolis Colts,Tennessee Titans,0.4838709677419355
13,Baltimore Ravens,San Francisco 49ers,20,17,San Francisco 49ers,Baltimore Ravens,0.48484848484848486
13,Miami Dolphins,Philadelphia Eagles,37,31,Philadelphia Eagles,Miami Dolphins,0.6896551724137931
13,Cincinnati Bengals,New York Jets,22,6,New York Jets,Cincinnati Bengals,0.5555555555555556
13,Pittsburgh Steelers,Cleveland Browns,20,13,Cleveland Browns,Pittsburgh Steelers,0.4864864864864865
13,Los Angeles Rams,Arizona Cardinals,34,7,Arizona Cardinals,Los Angeles Rams,0.3225806451612903
13,Kansas City Chiefs,Oakland Raiders,40,9,Oakland Raiders,Kansas City Chiefs,0.36363636363636365
13,Denver Broncos,Los Angeles Chargers,23,20,Los Angeles Chargers,Denver Broncos,0.5882352941176471
13,Houston Texans,New England Patriots,28,22,New England Patriots,Houston Texans,0.575
13,Seattle Seahawks,Minnesota Vikings,37,30,Minnesota Vikings,Seattle Seahawks,0.5
